,User,Followers,Following,Hashtags,Date Created,Number of Likes,Retweet Count,Source of Tweet,Tweet
0,Virat Kohli,54141987,61,[],07-03-2023 14:47,307605,17517,Twitter for Android,Happy Holi to all 🙌🇮🇳 https://t.co/AHWWLI1ojl
1,Virat Kohli,54141987,61,[],06-03-2023 00:22,359682,19725,Twitter for Android,🕉️ https://t.co/tIwxNVs5KY
2,Virat Kohli,54141987,61,[],########,932900,600,Twitter for Android,"Following this rule change, a few coaches  were frightened that participants might try to bait other players in order to draw penalties and rejections."
3,Virat Kohli,54141987,61,"[{'text': 'AddWeightToYourCV', 'indices': [0, 18]}]",27-02-2023 05:00,15466,900,Twitter Media Studio,"#AddWeightToYourCV with management programs from top educational institutions like Wharton Online, Great Lakes, NUS… https://t.co/p85kqAfMOz"
4,Virat Kohli,54141987,61,[],25-02-2023 05:19,27386,1479,Twitter for Android,"The drive to grow with every experience is progress!
Making the world a better place one day at a time.
What is you… https://t.co/48G1puK7Hv"
5,Virat Kohli,54141987,61,"[{'text': 'NayaSher', 'indices': [41, 50]}]",23-02-2023 05:00,29820,1628,Twitter for Android,"Get ready to unleash your bold side with #NayaSher!  So turn up the volume, and let the world hear your mighty roar… https://t.co/VCpHcIxnGW"
6,Virat Kohli,54141987,61,[],21-02-2023 05:03,71257,3430,Twitter for Android,Get ready for a grassroots football revolution! @FCGoaOfficial and @forcagoaorg launched their Fields of Dreams Pro… https://t.co/2c2eXT5mQj
7,Virat Kohli,54141987,61,[],20-02-2023 05:00,21332,1343,Twitter Media Studio,"Lesser-known facts! 
Catch me spill the beans on food, fashion, and more on Ep 2! 

Click here to explore more of W… https://t.co/PXCrOdBHaW"
8,Virat Kohli,54141987,61,[],19-02-2023 09:25,206263,11881,Twitter for Android,Delhi done. Two in a row. 🇮🇳✅ https://t.co/99YH24DD5H
9,Virat Kohli,54141987,61,[],14-02-2023 04:48,47902,2458,Twitter for Android,"Can’t tell you how excited I was to unbox my new phone.
Well, now’s my time to be in the spotlight with my new… https://t.co/4248wToaLI"
10,Virat Kohli,54141987,61,[],12-02-2023 17:04,36236,2466,Twitter for Android,(2/2) The women’s team is taking such giant leaps ahead with every tournament we played and it’s going to inspire a w… https://t.co/uxwKEXFAR8
